 text,label
"India's current Prime Minister is Narendra Modi",1
"The sun rises in the east",1
"Water freezes at 0 degrees Celsius",1
"NASA confirms the Earth orbits the Sun",1
"COVID-19 vaccines were approved by WHO",1
"Google is a search engine owned by Alphabet Inc.",1
"Elon Musk is the CEO of SpaceX",1
"Apple released the first iPhone in 2007",1
"The capital of France is Paris",1
"The World Cup was held in Qatar in 2022",1
"Aliens secretly run the government",0
"Drinking bleach can cure COVID-19",0
"The moon is made of cheese",0
"5G networks cause coronavirus",0
"Earth is flat and NASA hides the truth",0
"Bill Gates controls the weather using satellites",0
"Vaccines contain microchips to track people",0
"Dinosaurs still live in secret underground bases",0
"Global warming is a hoax",0
"Humans can live without oxygen",0
"kavyasri is a good girl",1
"Government announces free education scheme",real
"Aliens found living under Taj Mahal",fake
"WHO confirms vaccine safety",real
"Drinking salt water cures cancer",fake
"India launches new satellite successfully",real
